Timestamp,Population Count
2026-05-21 22:02:53,"8,250,780,030"
2026-05-21 22:02:54,"8,250,780,032"
2026-05-21 22:02:55,"8,250,780,034"
2026-05-21 22:02:56,"8,250,780,037"
2026-05-21 22:02:57,"8,250,780,039"
2026-05-21 22:02:58,"8,250,780,042"
2026-05-21 22:02:59,"8,250,780,044"
2026-05-21 22:03:00,"8,250,780,046"
2026-05-21 22:03:01,"8,250,780,049"
2026-05-21 22:03:02,"8,250,780,051"
2026-05-21 22:03:03,"8,250,780,053"
2026-05-21 22:03:04,"8,250,780,056"
2026-05-21 22:03:05,"8,250,780,058"
2026-05-21 22:03:06,"8,250,780,060"
2026-05-21 22:03:07,"8,250,780,063"
2026-05-21 22:03:09,"8,250,780,065"
2026-05-21 22:03:10,"8,250,780,067"
2026-05-21 22:03:11,"8,250,780,070"
2026-05-21 22:03:12,"8,250,780,072"
2026-05-21 22:03:13,"8,250,780,074"
2026-05-21 22:03:14,"8,250,780,077"
2026-05-21 22:03:15,"8,250,780,079"
2026-05-21 22:03:16,"8,250,780,081"
2026-05-21 22:03:17,"8,250,780,084"
2026-05-21 22:03:18,"8,250,780,086"
2026-05-21 22:03:19,"8,250,780,089"
2026-05-21 22:03:20,"8,250,780,091"
2026-05-21 22:03:21,"8,250,780,093"
2026-05-21 22:03:22,"8,250,780,096"
2026-05-21 22:03:23,"8,250,780,098"
2026-05-21 22:03:24,"8,250,780,100"
2026-05-21 22:03:25,"8,250,780,103"
2026-05-21 22:03:26,"8,250,780,105"
2026-05-21 22:03:27,"8,250,780,107"
2026-05-21 22:03:28,"8,250,780,110"
2026-05-21 22:03:29,"8,250,780,112"
2026-05-21 22:03:30,"8,250,780,114"
2026-05-21 22:03:31,"8,250,780,117"
2026-05-21 22:03:32,"8,250,780,119"
2026-05-21 22:03:34,"8,250,780,122"
2026-05-21 22:03:35,"8,250,780,124"
2026-05-21 22:03:36,"8,250,780,126"
2026-05-21 22:03:37,"8,250,780,129"
2026-05-21 22:03:38,"8,250,780,131"
2026-05-21 22:03:39,"8,250,780,133"
2026-05-21 22:03:40,"8,250,780,136"
2026-05-21 22:03:41,"8,250,780,138"
2026-05-21 22:03:42,"8,250,780,140"
2026-05-21 22:03:43,"8,250,780,143"
2026-05-21 22:03:44,"8,250,780,145"
2026-05-21 22:03:45,"8,250,780,147"
2026-05-21 22:03:46,"8,250,780,150"
2026-05-21 22:03:47,"8,250,780,152"
2026-05-21 22:03:48,"8,250,780,154"
2026-05-21 22:03:49,"8,250,780,157"
2026-05-21 22:03:50,"8,250,780,159"
2026-05-21 22:03:51,"8,250,780,161"
2026-05-21 22:03:52,"8,250,780,164"
2026-05-21 22:03:53,"8,250,780,166"
2026-05-21 22:03:54,"8,250,780,168"
2026-05-21 22:03:55,"8,250,780,171"
2026-05-21 22:03:56,"8,250,780,173"
2026-05-21 22:03:57,"8,250,780,175"
2026-05-21 22:03:58,"8,250,780,178"
2026-05-21 22:03:59,"8,250,780,180"
2026-05-21 22:04:00,"8,250,780,182"
2026-05-21 22:04:02,"8,250,780,185"
2026-05-21 22:04:03,"8,250,780,187"
2026-05-21 22:04:04,"8,250,780,190"
2026-05-21 22:04:05,"8,250,780,192"
